product_id,price_usd,cost_usd,category,page_view,add_to_cart,purchase_count,click_velocity,cart_to_view_ratio,conversion_rate,gross_margin_pct
1.0,570.28,352.69,Electronics,187,5,2,187,0.026737967914438502,0.0106951871657754,0.38154941432278877
2.0,498.13,263.13,Electronics,200,5,2,200,0.025,0.01,0.4717643988517054
3.0,548.53,309.6,Electronics,214,11,4,214,0.0514018691588785,0.018691588785046728,0.43558237471059
4.0,268.36,153.56,Electronics,357,32,14,357,0.0896358543417367,0.0392156862745098,0.4277835743031749
5.0,63.69,42.65,Electronics,566,133,44,566,0.23498233215547704,0.07773851590106007,0.33035013345894176
6.0,358.95,222.19,Electronics,251,16,7,251,0.06374501992031872,0.027888446215139442,0.38100013929516646
7.0,347.3,187.53,Electronics,279,14,11,279,0.05017921146953405,0.03942652329749104,0.4600345522602937
8.0,338.19,227.02,Electronics,284,14,4,284,0.04929577464788732,0.014084507042253521,0.32872054170732423
9.0,88.74,59.58,Electronics,526,146,74,526,0.27756653992395436,0.14068441064638784,0.32860040567951315
10.0,85.54,61.04,Electronics,528,149,58,528,0.2821969696969697,0.10984848484848485,0.2864157119476269
11.0,382.84,248.43,Electronics,265,18,9,265,0.06792452830188679,0.033962264150943396,0.35108661581861866
12.0,473.02,302.58,Electronics,214,13,5,214,0.06074766355140187,0.02336448598130841,0.360323030738658
13.0,200.87,148.31,Electronics,368,55,21,368,0.14945652173913043,0.057065217391304345,0.26166177129486734
14.0,76.66,45.24,Electronics,581,167,74,581,0.2874354561101549,0.12736660929432014,0.4098617271067049
15.0,445.78,261.4,Electronics,242,7,5,242,0.028925619834710745,0.02066115702479339,0.41361209565256407
16.0,321.8,176.83,Electronics,331,12,3,331,0.03625377643504532,0.00906344410876133,0.45049720323182096
17.0,561.96,352.07,Electronics,203,8,1,203,0.03940886699507389,0.0049261083743842365,0.37349633425866613
18.0,465.81,312.98,Electronics,247,8,2,247,0.032388663967611336,0.008097165991902834,0.3280951460896073
19.0,223.87,135.45,Electronics,388,50,17,388,0.12886597938144329,0.04381443298969072,0.3949613615044446
20.0,69.19,36.54,Electronics,590,149,50,590,0.25254237288135595,0.0847457627118644,0.471889001300766
21.0,427.31,221.99,Electronics,209,13,6,209,0.06220095693779904,0.028708133971291867,0.48049425475649993
22.0,398.86,318.26,Electronics,259,10,3,259,0.03861003861003861,0.011583011583011582,0.2020759163616307
23.0,192.22,118.36,Electronics,380,70,29,380,0.18421052631578946,0.07631578947368421,0.38424721673082923
24.0,42.86,27.37,Electronics,640,193,86,640,0.3015625,0.134375,0.361409239384041
25.0,311.41,176.09,Electronics,323,18,8,323,0.05572755417956656,0.02476780185758514,0.4345396743842523
26.0,450.87,279.26,Electronics,230,7,2,230,0.030434782608695653,0.008695652173913044,0.3806196908199703
27.0,75.93,48.2,Electronics,573,173,69,573,0.3019197207678883,0.12041884816753927,0.3652047938891084
28.0,533.53,397.9,Electronics,232,17,5,232,0.07327586206896551,0.021551724137931036,0.2542125091372556
29.0,432.65,344.36,Electronics,222,7,4,222,0.03153153153153153,0.018018018018018018,0.20406795331099034
30.0,575.91,314.03,Electronics,220,15,4,220,0.06818181818181818,0.01818181818181818,0.45472382837596154
31.0,162.22,92.47,Electronics,412,92,39,412,0.22330097087378642,0.09466019417475728,0.42997164344717054
32.0,179.77,90.11,Electronics,382,72,27,382,0.18848167539267016,0.07068062827225131,0.4987484007342716
33.0,377.59,224.89,Electronics,278,18,2,278,0.06474820143884892,0.007194244604316547,0.40440689636907756
34.0,290.29,221.0,Electronics,343,29,15,343,0.08454810495626822,0.043731778425655975,0.23869234214061805
35.0,256.9,158.82,Electronics,331,25,11,331,0.0755287009063444,0.03323262839879154,0.38178279486181393
36.0,65.48,34.06,Electronics,578,183,80,578,0.3166089965397924,0.1384083044982699,0.4798411728772144
37.0,122.51,73.75,Electronics,483,116,50,483,0.2401656314699793,0.10351966873706005,0.398008325850951
38.0,30.13,16.43,Electronics,628,209,80,628,0.3328025477707006,0.12738853503184713,0.45469631596415533
39.0,379.83,197.93,Electronics,240,12,5,240,0.05,0.020833333333333332,0.4788984545717821
40.0,114.67,66.01,Electronics,523,128,49,523,0.2447418738049713,0.09369024856596558,0.42434812941484257
41.0,300.27,160.53,Electronics,317,15,8,317,0.0473186119873817,0.025236593059936908,0.4653811569587371
42.0,303.83,180.34,Electronics,280,15,7,280,0.05357142857142857,0.025,0.40644439324622317
43.0,457.31,330.23,Electronics,247,13,7,247,0.05263157894736842,0.02834008097165992,0.27788589796855523
44.0,324.31,182.12,Electronics,273,17,8,273,0.06227106227106227,0.029304029304029304,0.4384385310351207
45.0,113.56,75.28,Electronics,446,100,51,446,0.2242152466367713,0.11434977578475336,0.3370905248326876
46.0,587.75,446.1,Electronics,206,12,5,206,0.05825242718446602,0.024271844660194174,0.24100382815823052
47.0,325.49,251.43,Electronics,280,17,11,280,0.060714285714285714,0.039285714285714285,0.22753387200835662
48.0,333.58,244.75,Electronics,277,17,7,277,0.061371841155234655,0.02527075812274368,0.2662929432220157
49.0,379.54,279.54,Electronics,267,17,9,267,0.06367041198501873,0.033707865168539325,0.2634768403857301
50.0,489.46,364.89,Electronics,231,15,5,231,0.06493506493506493,0.021645021645021644,0.25450496465492584
51.0,143.95,93.26,Electronics,436,106,43,436,0.24311926605504589,0.09862385321100918,0.3521361583883292
52.0,594.07,437.85,Electronics,181,4,3,181,0.022099447513812154,0.016574585635359115,0.2629656437793526
53.0,140.38,95.67,Electronics,436,90,45,436,0.20642201834862386,0.10321100917431193,0.3184926627724747
54.0,490.88,351.93,Electronics,215,8,5,215,0.037209302325581395,0.023255813953488372,0.28306307040417206
55.0,75.91,40.28,Electronics,574,163,69,574,0.28397212543554007,0.12020905923344948,0.4693716242919246
56.0,222.51,143.47,Electronics,346,46,20,346,0.1329479768786127,0.057803468208092484,0.3552199901128039
57.0,303.3,211.06,Electronics,272,10,9,272,0.03676470588235294,0.03308823529411765,0.3041213320145071
58.0,505.75,271.07,Electronics,230,8,3,230,0.034782608695652174,0.013043478260869565,0.464023727137914
59.0,302.48,167.44,Electronics,279,5,1,279,0.017921146953405017,0.0035842293906810036,0.44644274001586887
60.0,79.45,62.28,Electronics,551,140,60,551,0.2540834845735027,0.1088929219600726,0.21611076148521083
61.0,294.0,212.56,Electronics,300,14,4,300,0.04666666666666667,0.013333333333333334,0.2770068027210884
62.0,126.9,68.29,Electronics,449,108,38,449,0.24053452115812918,0.08463251670378619,0.46185973207249803
63.0,489.71,266.33,Electronics,239,11,6,239,0.04602510460251046,0.02510460251046025,0.4561475158767434
64.0,404.64,244.86,Electronics,245,9,3,245,0.036734693877551024,0.012244897959183673,0.3948695136417556
65.0,42.2,31.22,Electronics,604,179,79,604,0.29635761589403975,0.13079470198675497,0.2601895734597157
66.0,330.15,257.55,Electronics,281,10,7,281,0.03558718861209965,0.02491103202846975,0.2199000454338936
67.0,500.91,282.17,Electronics,194,15,6,194,0.07731958762886598,0.030927835051546393,0.4366852328761654
68.0,196.99,112.71,Electronics,365,65,25,365,0.1780821917808219,0.0684931506849315,0.4278389765977969
69.0,177.84,111.28,Electronics,390,87,39,390,0.2230769230769231,0.1,0.3742690058479532
70.0,548.71,332.59,Electronics,197,11,4,197,0.05583756345177665,0.02030456852791878,0.3938692569845639
71.0,501.47,382.85,Electronics,209,6,1,209,0.028708133971291867,0.004784688995215311,0.23654455899655014
72.0,328.4,166.04,Electronics,293,20,10,293,0.06825938566552901,0.034129692832764506,0.49439707673568817
73.0,376.88,276.18,Electronics,268,16,7,268,0.05970149253731343,0.026119402985074626,0.2671938017406071
74.0,110.69,75.9,Electronics,438,98,44,438,0.2237442922374429,0.1004566210045662,0.3143012015538892
75.0,215.81,141.46,Electronics,376,60,20,376,0.1595744680851064,0.05319148936170213,0.34451600945275934
76.0,477.04,253.71,Electronics,206,14,7,206,0.06796116504854369,0.03398058252427184,0.4681578064732517
77.0,171.64,100.08,Electronics,415,69,30,415,0.16626506024096385,0.07228915662650602,0.4169191330692146
78.0,319.4,213.52,Electronics,247,11,5,247,0.044534412955465584,0.020242914979757085,0.33149655604257977
79.0,282.65,193.26,Electronics,335,34,16,335,0.10149253731343283,0.04776119402985075,0.31625685476738014
80.0,424.86,270.09,Electronics,259,13,3,259,0.05019305019305019,0.011583011583011582,0.36428470555006365
81.0,319.42,183.44,Electronics,264,12,4,264,0.045454545454545456,0.015151515151515152,0.42570909773965315
82.0,555.99,426.9,Electronics,208,8,3,208,0.038461538461538464,0.014423076923076924,0.23218043489990833
83.0,108.17,58.03,Electronics,482,120,47,482,0.24896265560165975,0.0975103734439834,0.46352962928723307
84.0,71.35,40.83,Electronics,601,177,69,601,0.2945091514143095,0.11480865224625623,0.4277505255781359
85.0,411.6,302.6,Electronics,265,11,5,265,0.04150943396226415,0.018867924528301886,0.26482021379980564
86.0,565.52,391.93,Electronics,218,11,3,218,0.05045871559633028,0.013761467889908258,0.3069564294808318
87.0,174.27,94.31,Electronics,399,70,37,399,0.17543859649122806,0.09273182957393483,0.45882825500659896
88.0,455.61,240.67,Electronics,221,12,4,221,0.05429864253393665,0.01809954751131222,0.4717631307477887
89.0,594.23,445.51,Electronics,187,11,5,187,0.058823529411764705,0.026737967914438502,0.25027346313716914
90.0,596.62,370.59,Electronics,197,15,4,197,0.07614213197969544,0.02030456852791878,0.3788508598437867
91.0,233.27,123.09,Electronics,352,49,22,352,0.13920454545454544,0.0625,0.472328203369486
92.0,222.65,141.96,Electronics,365,43,14,365,0.1178082191780822,0.038356164383561646,0.36240736582079497
